Month,Agency,Ridership
12/01/2016,MNR,7280395
01/01/2017,B&T,23678030
01/01/2017,MNR,6740205
02/01/2017,B&T,21817096
02/01/2017,MNR,6255704
03/01/2017,B&T,24825216
03/01/2017,MNR,7308653
04/01/2017,B&T,25563307
04/01/2017,MNR,7015523
05/01/2017,B&T,26934051
05/01/2017,MNR,7464531
06/01/2017,B&T,27312088
06/01/2017,MNR,7708077
07/01/2017,MNR,7244976
07/01/2017,B&T,27666919
08/01/2017,MNR,7507575
08/01/2017,B&T,28400644
09/01/2017,MNR,7083644
09/01/2017,B&T,26685639
10/01/2017,MNR,7730577
10/01/2017,B&T,27200556
11/01/2017,MNR,7277877
11/01/2017,B&T,26080331
12/01/2017,MNR,7160806
12/01/2017,B&T,25865411
01/01/2018,MNR,6764660
01/01/2018,Bus,45398837
01/01/2018,Subway,134683435
01/01/2018,B&T,23864492
02/01/2018,MNR,6246009
02/01/2018,Bus,44719811
02/01/2018,Subway,127432835
02/01/2018,B&T,22860783
03/01/2018,MNR,7136383
03/01/2018,Bus,49751875
03/01/2018,Subway,143982923
03/01/2018,B&T,25806229
04/01/2018,MNR,7114637
04/01/2018,Bus,48544481
04/01/2018,Subway,141950369
04/01/2018,B&T,26642983
05/01/2018,MNR,7544006
05/01/2018,Bus,51833732
05/01/2018,Subway,150320833
05/01/2018,B&T,28357016
06/01/2018,MNR,7596231
06/01/2018,Bus,47637082
06/01/2018,Subway,142709768
06/01/2018,B&T,28668259
07/01/2018,MNR,7403479
07/01/2018,Bus,46047617
07/01/2018,Subway,136167499
07/01/2018,B&T,28683283
08/01/2018,MNR,7456258
08/01/2018,Bus,46810522
08/01/2018,Subway,136806572
08/01/2018,B&T,29401598
09/01/2018,MNR,6935011
09/01/2018,Bus,46842647
09/01/2018,Subway,134989959
09/01/2018,B&T,27293147
10/01/2018,MNR,7865799
10/01/2018,Bus,51989419
10/01/2018,Subway,154116408
10/01/2018,B&T,28425771
11/01/2018,MNR,7230193
11/01/2018,Bus,45751957
11/01/2018,Subway,140711661
11/01/2018,B&T,26701191
12/01/2018,MNR,7229500
12/01/2018,Bus,44033258
12/01/2018,Subway,136188140
12/01/2018,B&T,27066586
01/01/2019,Subway,134544724
01/01/2019,MNR,6860312
01/01/2019,AAR,864140
01/01/2019,Bus,44534038
01/01/2019,B&T,25129910
02/01/2019,Subway,126359734
02/01/2019,MNR,6200044
02/01/2019,AAR,853607
02/01/2019,Bus,42141027
02/01/2019,B&T,23640999
03/01/2019,Subway,143723256
03/01/2019,MNR,7098004
03/01/2019,AAR,949831
03/01/2019,Bus,48332949
03/01/2019,B&T,27460314
04/01/2019,Subway,145063237
04/01/2019,LIRR,7724038
04/01/2019,MNR,7514943
04/01/2019,AAR,922701
04/01/2019,Bus,47233653
04/01/2019,B&T,27543316
05/01/2019,Subway,150789403
05/01/2019,LIRR,7974945
05/01/2019,MNR,7276868
05/01/2019,Bus,49821526
05/01/2019,AAR,910526
05/01/2019,B&T,29367794
06/01/2019,Subway,141384305
06/01/2019,LIRR,7736345
06/01/2019,MNR,7778649
06/01/2019,Bus,45813014
06/01/2019,AAR,879201
06/01/2019,B&T,28905349
07/01/2019,Subway,139515322
07/01/2019,LIRR,7990885
07/01/2019,MNR,7574033
07/01/2019,Bus,46292199
07/01/2019,AAR,877614
07/01/2019,B&T,28971013
08/01/2019,Subway,137219278
08/01/2019,LIRR,7921403
08/01/2019,MNR,7201019
08/01/2019,Bus,45692146
08/01/2019,AAR,897372
08/01/2019,B&T,29545907
09/01/2019,Subway,143279121
09/01/2019,LIRR,7540043
09/01/2019,MNR,7371364
09/01/2019,Bus,48123064
09/01/2019,AAR,900628
09/01/2019,B&T,27886998
10/01/2019,Subway,155326209
10/01/2019,LIRR,8108240
10/01/2019,MNR,7759514
10/01/2019,Bus,50462006
10/01/2019,AAR,965411
10/01/2019,B&T,28218471
11/01/2019,Subway,140734422
11/01/2019,LIRR,7215882
11/01/2019,MNR,6967650
11/01/2019,Bus,45362394
11/01/2019,AAR,953588
11/01/2019,B&T,27012705
12/01/2019,Subway,139847991
12/01/2019,LIRR,7667200
12/01/2019,MNR,7471374
12/01/2019,Bus,43228488
12/01/2019,AAR,943602
12/01/2019,B&T,27057942
01/01/2020,Subway,138446295
01/01/2020,LIRR,7171719
01/01/2020,MNR,6957330
01/01/2020,AAR,937439
01/01/2020,Bus,45145397
01/01/2020,B&T,25474797
02/01/2020,Subway,130902123
02/01/2020,LIRR,6640007
02/01/2020,MNR,6319584
02/01/2020,AAR,966449
02/01/2020,Bus,43129229
02/01/2020,B&T,24634890
03/01/2020,Subway,73639342
03/01/2020,LIRR,3274069
03/01/2020,MNR,2820989
03/01/2020,AAR,649703
03/01/2020,Bus,26152590
03/01/2020,B&T,19027025
04/01/2020,Subway,11795394
04/01/2020,LIRR,253571
04/01/2020,MNR,450634
04/01/2020,AAR,209888
04/01/2020,Bus,362266
04/01/2020,B&T,9794996
05/01/2020,Subway,15316407
05/01/2020,LIRR,515918
05/01/2020,MNR,512191
05/01/2020,Bus,289711
05/01/2020,AAR,289458
05/01/2020,B&T,15034397
06/01/2020,Subway,23911163
06/01/2020,LIRR,1113087
06/01/2020,MNR,926928
06/01/2020,Bus,457604
06/01/2020,AAR,410328
06/01/2020,B&T,20092068
07/01/2020,Subway,32482176
07/01/2020,LIRR,1621375
07/01/2020,MNR,1318623
07/01/2020,Bus,558479
07/01/2020,AAR,498287
07/01/2020,B&T,23412070
08/01/2020,Subway,35153119
08/01/2020,LIRR,1747284
08/01/2020,MNR,1386993
08/01/2020,Bus,1175266
08/01/2020,AAR,560794
08/01/2020,B&T,24506383
09/01/2020,Subway,42660693
09/01/2020,LIRR,2041823
09/01/2020,MNR,1704534
09/01/2020,Bus,23046563
09/01/2020,AAR,593471
09/01/2020,B&T,24086477
10/01/2020,Subway,47957127
10/01/2020,LIRR,2174853
10/01/2020,MNR,1872231
10/01/2020,Bus,24717226
10/01/2020,AAR,708229
10/01/2020,B&T,24521914
11/01/2020,Subway,43618698
11/01/2020,LIRR,1896355
11/01/2020,MNR,1573694
11/01/2020,Bus,22223328
11/01/2020,AAR,649352
11/01/2020,B&T,21967330
12/01/2020,Subway,43658492
12/01/2020,LIRR,1860130
12/01/2020,MNR,1473045
12/01/2020,Bus,21589388
12/01/2020,AAR,643662
12/01/2020,B&T,21663405
01/01/2021,Subway,41123531
01/01/2021,LIRR,1730014
01/01/2021,MNR,1404985
01/01/2021,AAR,614033
01/01/2021,Bus,20769132
01/01/2021,B&T,21089857
02/01/2021,Subway,39170408
02/01/2021,LIRR,1586865
02/01/2021,MNR,1302133
02/01/2021,AAR,495819
02/01/2021,Bus,18822957
02/01/2021,B&T,18324573
03/01/2021,Subway,51395341
03/01/2021,LIRR,2092132
03/01/2021,MNR,1749906
03/01/2021,AAR,669737
03/01/2021,Bus,24533046
03/01/2021,B&T,24422404
04/01/2021,Subway,53236649
04/01/2021,LIRR,2199648
04/01/2021,MNR,1881408
04/01/2021,AAR,664966
04/01/2021,Bus,25009678
04/01/2021,B&T,24979023
05/01/2021,Subway,58397777
05/01/2021,LIRR,2511071
05/01/2021,MNR,2300933
05/01/2021,Bus,25960719
05/01/2021,AAR,675114
05/01/2021,B&T,26927146
06/01/2021,Subway,65475928
06/01/2021,LIRR,3107640
06/01/2021,MNR,2761766
06/01/2021,Bus,26925261
06/01/2021,AAR,699059
06/01/2021,B&T,27915078
07/01/2021,Subway,66973313
07/01/2021,LIRR,3309454
07/01/2021,MNR,2917255
07/01/2021,Bus,26905110
07/01/2021,AAR,677176
07/01/2021,B&T,28111412
08/01/2021,Subway,66418585
08/01/2021,LIRR,3294846
08/01/2021,MNR,2876949
08/01/2021,Bus,26682112
08/01/2021,AAR,680625
08/01/2021,B&T,28170427
09/01/2021,Subway,73405353
09/01/2021,LIRR,3630469
09/01/2021,MNR,3118696
09/01/2021,Bus,28986728
09/01/2021,AAR,668513
09/01/2021,B&T,27139113
10/01/2021,Subway,83415225
10/01/2021,LIRR,3940612
10/01/2021,MNR,3634684
10/01/2021,Bus,30875205
10/01/2021,AAR,687217
10/01/2021,B&T,28162662
11/01/2021,Subway,82331344
11/01/2021,LIRR,3949969
11/01/2021,MNR,3639218
11/01/2021,Bus,28904472
11/01/2021,AAR,644716
11/01/2021,B&T,26919659
12/01/2021,Subway,78633267
12/01/2021,LIRR,3684025
12/01/2021,MNR,3277720
12/01/2021,Bus,27519169
12/01/2021,AAR,635910
12/01/2021,B&T,26094533
01/01/2022,Subway,63547386
01/01/2022,LIRR,2750138
01/01/2022,MNR,2375210
01/01/2022,AAR,558704
01/01/2022,Bus,23255396
01/01/2022,B&T,22106113
02/01/2022,Subway,70027806
02/01/2022,LIRR,3180253
02/01/2022,MNR,2803874
02/01/2022,AAR,620160
02/01/2022,Bus,24780919
02/01/2022,B&T,23527980
03/01/2022,Subway,87296932
03/01/2022,LIRR,4371239
03/01/2022,MNR,3997802
03/01/2022,AAR,770887
03/01/2022,Bus,30731752
03/01/2022,B&T,27452513
04/01/2022,Subway,83458044
04/01/2022,LIRR,4170715
04/01/2022,MNR,3960410
04/01/2022,Bus,28964843
04/01/2022,AAR,752442
04/01/2022,B&T,27481519
05/01/2022,Subway,87807398
05/01/2022,LIRR,4468670
05/01/2022,MNR,4133541
05/01/2022,Bus,30454123
05/01/2022,AAR,768510
05/01/2022,B&T,28956805
06/01/2022,Subway,88064005
06/01/2022,LIRR,4847814
06/01/2022,MNR,4480491
06/01/2022,Bus,29809526
06/01/2022,AAR,782649
06/01/2022,B&T,28934906
07/01/2022,Subway,80700784
07/01/2022,LIRR,4511503
07/01/2022,MNR,4154203
07/01/2022,Bus,28225901
07/01/2022,AAR,778821
07/01/2022,B&T,28791865
08/01/2022,Subway,83116207
08/01/2022,LIRR,4760161
08/01/2022,MNR,4299932
08/01/2022,Bus,29190291
08/01/2022,AAR,828872
08/01/2022,B&T,29277240
09/01/2022,Subway,91067002
09/01/2022,LIRR,4997251
09/01/2022,MNR,4707668
09/01/2022,Bus,30439385
09/01/2022,AAR,807181
09/01/2022,B&T,28224306
10/01/2022,Subway,95228073
10/01/2022,LIRR,4943908
10/01/2022,MNR,4852928
10/01/2022,Bus,30686448
10/01/2022,AAR,819282
10/01/2022,B&T,28418735
11/01/2022,Subway,90951945
11/01/2022,LIRR,4778906
11/01/2022,MNR,4675612
11/01/2022,Bus,29015658
11/01/2022,AAR,814326
11/01/2022,B&T,26990545
12/01/2022,Subway,92159883
12/01/2022,LIRR,4759965
12/01/2022,MNR,4633424
12/01/2022,Bus,27538720
12/01/2022,AAR,801623
12/01/2022,B&T,27136567
01/01/2023,LIRR,4632770
01/01/2023,Subway,88997973
01/01/2023,Bus,28312599
01/01/2023,AAR,829178
01/01/2023,SIR,184342
01/01/2023,B&T,25739508
02/01/2023,LIRR,4296379
02/01/2023,Subway,84364006
02/01/2023,Bus,26621222
02/01/2023,AAR,801617
02/01/2023,SIR,161777
02/01/2023,B&T,23923849
03/01/2023,LIRR,5235497
03/01/2023,Subway,101147710
03/01/2023,Bus,31834944
03/01/2023,AAR,935334
03/01/2023,SIR,205880
03/01/2023,B&T,27885488
04/01/2023,LIRR,4988126
04/01/2023,Subway,94267491
04/01/2023,Bus,28689898
04/01/2023,AAR,883681
04/01/2023,SIR,172132
04/01/2023,B&T,27399927
05/01/2023,LIRR,5634423
05/01/2023,Subway,104532854
05/01/2023,Bus,31698626
05/01/2023,AAR,949070
05/01/2023,SIR,209461
05/01/2023,B&T,29737737
06/01/2023,LIRR,5768267
06/01/2023,Subway,97823227
06/01/2023,Bus,29098672
06/01/2023,AAR,925964
06/01/2023,SIR,185529
06/01/2023,B&T,29348602
07/01/2023,LIRR,5517014
07/01/2023,Subway,91228642
07/01/2023,Bus,27802733
07/01/2023,AAR,918852
07/01/2023,SIR,154544
07/01/2023,B&T,29298566
08/01/2023,LIRR,5857735
08/01/2023,Subway,94141961
08/01/2023,Bus,28590043
08/01/2023,AAR,982838
08/01/2023,SIR,168545
